scenario_id,family,total_flows,botnet_flows,botnet_frac,normal_flows,normal_frac,background_flows,background_frac,unique_src_ips,unique_dst_ips,mean_duration,max_duration,botnet_host_ips,unique_dst_ports,start_time,end_time
1,Neris,3892,745,0.191418,1167,0.299846,1980,0.508736,20,30,60.3376,119.9733,20,7,2011-08-10T09:00:00,2011-08-10T10:59:56
2,Neris,5350,431,0.080561,1605,0.3,3314,0.619439,20,30,59.9396,119.995,20,7,2011-08-10T09:00:00,2011-08-10T10:59:59
3,Rbot,5246,368,0.070149,1573,0.299848,3305,0.630004,20,30,59.3804,119.9966,20,7,2011-08-10T09:00:00,2011-08-10T10:59:58
4,Rbot,4905,573,0.11682,1471,0.299898,2861,0.583282,20,30,59.8737,119.9975,20,7,2011-08-10T09:00:00,2011-08-10T10:59:59
5,Virut,4683,783,0.167201,1404,0.299808,2496,0.532992,20,30,59.7965,119.9265,20,7,2011-08-10T09:00:03,2011-08-10T10:59:59
6,Virut,3780,333,0.088095,1134,0.3,2313,0.611905,20,30,59.9139,119.9271,20,7,2011-08-10T09:00:04,2011-08-10T10:59:59
7,Menti,5779,1054,0.182384,1733,0.299879,2992,0.517737,20,30,59.5667,119.9276,20,7,2011-08-10T09:00:00,2011-08-10T10:59:58
8,Sogou,4878,965,0.197827,1463,0.299918,2450,0.502255,20,30,60.5423,119.9553,20,7,2011-08-10T09:00:00,2011-08-10T10:59:56
9,Neris,3686,290,0.078676,1105,0.299783,2291,0.621541,20,30,59.0605,119.9974,20,7,2011-08-10T09:00:01,2011-08-10T10:59:58
10,Murlo,5106,333,0.065217,1531,0.299843,3242,0.634939,20,30,60.2146,119.9795,20,7,2011-08-10T09:00:00,2011-08-10T10:59:58
11,Neris,2535,291,0.114793,760,0.299803,1484,0.585404,20,30,60.4236,119.9529,20,7,2011-08-10T09:00:02,2011-08-10T10:59:57
12,NSIS.ay,4450,849,0.190787,1335,0.3,2266,0.509213,20,30,60.1398,119.9996,20,7,2011-08-10T09:00:00,2011-08-10T10:59:57
13,Virut,5583,979,0.175354,1674,0.299839,2930,0.524807,20,30,59.0671,119.9734,20,7,2011-08-10T09:00:00,2011-08-10T10:59:58
